127.0.0.1 - - [07/May/2016:17:48:48 +0530] "GET / HTTP/1.1" 404 992
0:0:0:0:0:0:0:1 - - [07/May/2016:17:48:49 +0530] "GET /SendRDApp1/ HTTP/1.1" 200 207
0:0:0:0:0:0:0:1 - - [07/May/2016:17:48:58 +0530] "POST /SendRDApp1/searchurl HTTP/1.1" 200 64
0:0:0:0:0:0:0:1 - - [07/May/2016:17:49:57 +0530] "POST /SendRDApp1/searchurl HTTP/1.1" 200 64
0:0:0:0:0:0:0:1 - - [07/May/2016:17:50:07 +0530] "GET /SendRDApp1/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/May/2016:17:50:08 +0530] "POST /SendRDApp1/searchurl HTTP/1.1" 200 65
0:0:0:0:0:0:0:1 - - [07/May/2016:17:51:09 +0530] "GET /SendRDApp1/ HTTP/1.1" 200 207
0:0:0:0:0:0:0:1 - - [07/May/2016:17:51:14 +0530] "POST /SendRDApp1/searchurl HTTP/1.1" 200 65
0:0:0:0:0:0:0:1 - - [07/May/2016:18:28:35 +0530] "POST /SendRDApp1/searchurl HTTP/1.1" 200 65
0:0:0:0:0:0:0:1 - - [07/May/2016:18:29:24 +0530] "POST /SendRDApp1/searchurl HTTP/1.1" 200 68
